customer_id,revenue,most_recent_visit,number_of_orders,recency_days
22086,777,5/14/2006,9,232
2290,1555,9/8/2006,16,115
26377,336,11/19/2006,5,43
24650,1189,10/29/2006,12,64
12883,1229,12/9/2006,12,23
2119,929,10/21/2006,11,72
31283,1569,9/11/2006,17,112
33815,778,8/12/2006,11,142
15972,641,11/19/2006,9,43
27650,970,8/23/2006,10,131
4168,730,4/10/2006,9,266
23375,798,12/26/2005,9,371
7460,980,9/27/2006,10,96
31412,1596,7/15/2006,14,170
4298,1105,2/2/2006,13,333
11217,673,8/28/2006,7,126
27435,793,12/14/2006,7,18
22756,652,4/30/2006,8,246
14737,1081,8/21/2006,12,133
38027,712,7/4/2006,8,181
35527,1060,7/24/2006,11,161
21182,790,8/2/2006,9,152
35926,1248,5/15/2006,13,231
2091,789,3/23/2006,9,284
16555,794,7/29/2006,8,156
7868,700,9/22/2006,10,101
16526,855,8/4/2006,10,150
12370,793,6/14/2006,6,201
32863,793,8/30/2006,11,124
11206,1220,7/31/2006,14,154
16677,220,11/5/2005,5,422
2718,1633,10/15/2006,16,78
35549,812,8/2/2006,9,152
39729,1231,10/16/2006,10,77
16563,1380,10/15/2006,16,78
14317,918,10/12/2006,9,81
27557,981,6/7/2006,10,208
16094,631,11/17/2005,7,410
10725,537,7/12/2005,6,538
27531,1804,11/25/2006,18,37
35774,994,10/3/2005,9,455
18357,1561,11/19/2006,18,43
18377,562,8/16/2006,9,138
12558,909,6/18/2006,10,197
2036,216,12/21/2006,3,11
15489,1185,9/6/2006,11,117
1811,978,9/14/2006,9,109
38345,794,8/15/2006,9,139
6116,450,4/2/2006,7,274
30839,943,11/24/2006,10,38
17548,691,7/21/2006,8,164
31140,1143,8/30/2006,10,124
9338,309,3/23/2006,3,284
5437,1154,8/18/2006,14,136
38672,859,9/15/2006,10,108
6662,1388,7/17/2006,10,168
32799,724,8/10/2005,6,509
23565,1240,3/29/2006,8,278
17474,1256,11/29/2005,11,398
20635,922,10/6/2006,10,87
2057,921,12/22/2006,11,10
10176,370,7/20/2006,5,165
7409,693,2/19/2006,7,316
36111,1068,12/10/2006,13,22
16700,1138,9/5/2006,11,118
6203,394,4/27/2006,7,249
4641,1370,7/9/2006,17,176
38766,1378,12/27/2005,12,370
39138,1460,4/12/2006,14,264
23711,1146,3/17/2006,11,290
29815,1505,11/27/2006,14,35
1552,682,6/12/2006,9,203
14070,1023,11/23/2006,10,39
11698,554,1/7/2006,5,359
2837,1117,10/28/2006,11,65
15039,891,9/14/2006,9,109
35252,1131,12/20/2005,12,377
7414,2031,9/26/2006,18,97
36920,1098,12/20/2006,11,12
2094,940,11/28/2006,10,34
1027,951,9/2/2006,10,121
19104,739,10/2/2005,9,456
22573,1489,10/25/2006,15,68
16910,982,5/28/2006,9,218
28412,1045,7/9/2006,10,176
7025,1089,11/20/2006,11,42
25933,973,9/24/2006,12,99
13586,812,8/21/2006,11,133
18695,1007,9/23/2006,9,100
22278,1093,9/29/2006,11,94
25897,935,7/21/2006,12,164
17131,497,11/13/2004,4,779
33971,541,7/29/2006,9,156
9920,1860,11/8/2006,15,54
34568,1121,8/31/2006,10,123
26537,1078,5/21/2006,11,225
9016,777,5/22/2006,8,224
39972,1236,9/25/2006,12,98
31644,1388,9/28/2006,13,95
3626,613,11/3/2006,5,59
22867,847,10/16/2006,9,77
26253,549,3/30/2006,5,277
14938,968,11/6/2006,9,56
30444,980,7/21/2006,10,164
